Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
6.13e-06,3292.03,9262.41
6.14e-06,3292.61,9260.94
6.15e-06,3293.19,9259.47
6.16e-06,3293.78,9258.0
6.17e-06,3294.36,9256.53
6.18e-06,3294.94,9255.06
6.19e-06,3295.52,9253.58
6.2e-06,3296.11,9252.11
6.21e-06,3296.69,9250.63
6.22e-06,3297.27,9249.16
6.23e-06,3297.86,9247.68
6.24e-06,3298.44,9246.2
6.25e-06,3299.03,9244.72
6.26e-06,3299.62,9243.24
6.27e-06,3300.2,9241.76
6.28e-06,3300.79,9240.28
6.29e-06,3301.37,9238.79
6.3e-06,3301.96,9237.31
6.31e-06,3302.55,9235.82
6.32e-06,3303.14,9234.33
6.33e-06,3303.73,9232.84
6.34e-06,3304.32,9231.36
6.35e-06,3304.91,9229.86
6.36e-06,3305.5,9228.37
6.37e-06,3306.09,9226.88
6.38e-06,3306.68,9225.39
6.39e-06,3307.27,9223.89
6.4e-06,3307.86,9222.4
6.41e-06,3308.45,9220.9
6.42e-06,3309.04,9219.4
6.43e-06,3309.64,9217.9
6.44e-06,3310.23,9216.4
6.45e-06,3310.82,9214.9
6.46e-06,3311.42,9213.4
6.47e-06,3312.01,9211.9
6.48e-06,3312.61,9210.39
6.49e-06,3313.2,9208.89
6.5e-06,3313.8,9207.38
6.51e-06,3314.4,9205.88
6.52e-06,3314.99,9204.37
6.53e-06,3315.59,9202.86
6.54e-06,3316.19,9201.35
6.55e-06,3316.78,9199.84
6.56e-06,3317.38,9198.32
6.57e-06,3317.98,9196.81
6.58e-06,3318.58,9195.29
6.59e-06,3319.18,9193.78
6.6e-06,3319.78,9192.26
6.61e-06,3320.38,9190.74
6.62e-06,3320.98,9189.22
6.63e-06,3321.58,9187.7
6.64e-06,3322.19,9186.18
6.65e-06,3322.79,9184.66
6.66e-06,3323.39,9183.14
6.67e-06,3323.99,9181.61
6.68e-06,3324.6,9180.09
6.69e-06,3325.2,9178.56
6.7e-06,3325.8,9177.03
6.71e-06,3326.41,9175.5
6.72e-06,3327.01,9173.97
6.73e-06,3327.62,9172.44
6.74e-06,3328.23,9170.91
6.75e-06,3328.83,9169.38
6.76e-06,3329.44,9167.84
6.77e-06,3330.05,9166.31
6.78e-06,3330.65,9164.77
6.79e-06,3331.26,9163.23
6.8e-06,3331.87,9161.69
6.81e-06,3332.48,9160.15
6.82e-06,3333.09,9158.61
6.83e-06,3333.7,9157.07
6.84e-06,3334.31,9155.53
6.85e-06,3334.92,9153.98
6.86e-06,3335.53,9152.44
6.87e-06,3336.14,9150.89
6.88e-06,3336.76,9149.34
6.89e-06,3337.37,9147.79
6.9e-06,3337.98,9146.25
6.91e-06,3338.59,9144.69
6.92e-06,3339.21,9143.14
6.93e-06,3339.82,9141.59
6.94e-06,3340.44,9140.03
6.95e-06,3341.05,9138.48
6.96e-06,3341.67,9136.92
6.97e-06,3342.28,9135.37
6.98e-06,3342.9,9133.81
6.99e-06,3343.52,9132.25
7e-06,3344.13,9130.69
7.01e-06,3344.75,9129.12
7.02e-06,3345.37,9127.56
7.03e-06,3345.99,9126.0
7.04e-06,3346.61,9124.43
7.05e-06,3347.23,9122.86
7.06e-06,3347.85,9121.3
7.07e-06,3348.47,9119.73
7.08e-06,3349.09,9118.16
7.09e-06,3349.71,9116.59
7.1e-06,3350.33,9115.02
7.11e-06,3350.95,9113.44
7.12e-06,3351.58,9111.87
7.13e-06,3352.2,9110.29
7.14e-06,3352.82,9108.72
7.15e-06,3353.45,9107.14
7.16e-06,3354.07,9105.56
7.17e-06,3354.7,9103.98
7.18e-06,3355.32,9102.4
7.19e-06,3355.95,9100.82
7.2e-06,3356.57,9099.23
7.21e-06,3357.2,9097.65
7.22e-06,3357.83,9096.06
7.23e-06,3358.45,9094.48
7.24e-06,3359.08,9092.89
7.25e-06,3359.71,9091.3
7.26e-06,3360.34,9089.71
7.27e-06,3360.97,9088.12
7.28e-06,3361.6,9086.52
7.29e-06,3362.23,9084.93
7.3e-06,3362.86,9083.34
7.31e-06,3363.49,9081.74
7.32e-06,3364.12,9080.14
7.33e-06,3364.75,9078.54
7.34e-06,3365.39,9076.94
7.35e-06,3366.02,9075.34
7.36e-06,3366.65,9073.74
7.37e-06,3367.29,9072.14
7.38e-06,3367.92,9070.54
7.39e-06,3368.56,9068.93
