Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
3.67e-06,15963.3,15764.0
3.68e-06,15956.0,15756.6
3.69e-06,15948.7,15749.4
3.7e-06,15941.5,15742.1
3.71e-06,15934.3,15734.9
3.72e-06,15927.1,15727.7
3.73e-06,15919.9,15720.5
3.74e-06,15912.7,15713.4
3.75e-06,15905.6,15706.2
3.76e-06,15898.5,15699.1
3.77e-06,15891.4,15692.0
3.78e-06,15884.4,15685.0
3.79e-06,15877.3,15678.0
3.8e-06,15870.3,15671.0
3.81e-06,15863.4,15664.0
3.82e-06,15856.4,15657.0
3.83e-06,15849.5,15650.1
3.84e-06,15842.6,15643.2
3.85e-06,15835.7,15636.3
3.86e-06,15828.8,15629.5
3.87e-06,15822.0,15622.6
3.88e-06,15815.2,15615.8
3.89e-06,15808.4,15609.0
3.9e-06,15801.6,15602.3
3.91e-06,15794.8,15595.5
3.92e-06,15788.1,15588.8
3.93e-06,15781.4,15582.1
3.94e-06,15774.7,15575.4
3.95e-06,15768.1,15568.8
3.96e-06,15761.4,15562.2
3.97e-06,15754.8,15555.6
3.98e-06,15748.2,15549.0
3.99e-06,15741.7,15542.4
4e-06,15735.1,15535.9
4.01e-06,15728.6,15529.4
4.02e-06,15722.1,15522.9
4.03e-06,15715.6,15516.4
4.04e-06,15709.1,15509.9
4.05e-06,15702.7,15503.5
4.06e-06,15696.2,15497.1
4.07e-06,15689.8,15490.7
4.08e-06,15683.4,15484.3
4.09e-06,15677.1,15478.0
4.1e-06,15670.7,15471.7
4.11e-06,15664.4,15465.4
4.12e-06,15658.1,15459.1
4.13e-06,15651.8,15452.8
4.14e-06,15645.6,15446.6
4.15e-06,15639.3,15440.4
4.16e-06,15633.1,15434.2
4.17e-06,15626.9,15428.0
4.18e-06,15620.7,15421.8
4.19e-06,15614.5,15415.7
4.2e-06,15608.4,15409.5
4.21e-06,15602.3,15403.4
4.22e-06,15596.1,15397.4
4.23e-06,15590.1,15391.3
4.24e-06,15584.0,15385.2
4.25e-06,15577.9,15379.2
4.26e-06,15571.9,15373.2
4.27e-06,15565.9,15367.2
4.28e-06,15559.9,15361.3
4.29e-06,15553.9,15355.3
4.3e-06,15547.9,15349.4
4.31e-06,15542.0,15343.5
4.32e-06,15536.1,15337.6
4.33e-06,15530.2,15331.7
4.34e-06,15524.3,15325.8
4.35e-06,15518.4,15320.0
4.36e-06,15512.5,15314.2
4.37e-06,15506.7,15308.4
4.38e-06,15500.9,15302.6
4.39e-06,15495.1,15296.8
4.4e-06,15489.3,15291.1
4.41e-06,15483.5,15285.3
4.42e-06,15477.8,15279.6
4.43e-06,15472.0,15273.9
4.44e-06,15466.3,15268.2
4.45e-06,15460.6,15262.6
4.46e-06,15454.9,15256.9
4.47e-06,15449.3,15251.3
4.48e-06,15443.6,15245.7
4.49e-06,15438.0,15240.1
4.5e-06,15432.4,15234.5
4.51e-06,15426.8,15228.9
4.52e-06,15421.2,15223.4
4.53e-06,15415.6,15217.9
4.54e-06,15410.0,15212.4
4.55e-06,15404.5,15206.9
4.56e-06,15399.0,15201.4
4.57e-06,15393.5,15195.9
4.58e-06,15388.0,15190.5
4.59e-06,15382.5,15185.0
4.6e-06,15377.0,15179.6
4.61e-06,15371.6,15174.2
4.62e-06,15366.2,15168.8
4.63e-06,15360.8,15163.5
4.64e-06,15355.4,15158.1
4.65e-06,15350.0,15152.8
4.66e-06,15344.6,15147.5
4.67e-06,15339.2,15142.2
4.68e-06,15333.9,15136.9
4.69e-06,15328.6,15131.6
4.7e-06,15323.3,15126.3
4.71e-06,15318.0,15121.1
4.72e-06,15312.7,15115.9
4.73e-06,15307.4,15110.6
4.74e-06,15302.2,15105.4
4.75e-06,15296.9,15100.3
4.76e-06,15291.7,15095.1
4.77e-06,15286.5,15089.9
4.78e-06,15281.3,15084.8
4.79e-06,15276.1,15079.7
4.8e-06,15271.0,15074.6
4.81e-06,15265.8,15069.5
4.82e-06,15260.7,15064.4
4.83e-06,15255.6,15059.3
4.84e-06,15250.5,15054.3
4.85e-06,15245.4,15049.2
4.86e-06,15240.3,15044.2
4.87e-06,15235.2,15039.2
4.88e-06,15230.1,15034.2
4.89e-06,15225.1,15029.2
4.9e-06,15220.1,15024.2
4.91e-06,15215.1,15019.3
4.92e-06,15210.1,15014.3
4.93e-06,15205.1,15009.4
4.94e-06,15200.1,15004.5
4.95e-06,15195.1,14999.6
4.96e-06,15190.2,14994.7
4.97e-06,15185.2,14989.8
4.98e-06,15180.3,14984.9
4.99e-06,15175.4,14980.1
5e-06,15170.5,14975.2
5.01e-06,15165.6,14970.4
5.02e-06,15160.8,14965.6
5.03e-06,15155.9,14960.8
5.04e-06,15151.1,14956.0
5.05e-06,15146.2,14951.3
5.06e-06,15141.4,14946.5
5.07e-06,15136.6,14941.7
5.08e-06,15131.8,14937.0
5.09e-06,15127.0,14932.3
5.1e-06,15122.2,14927.6
5.11e-06,15117.5,14922.9
5.12e-06,15112.7,14918.2
5.13e-06,15108.0,14913.5
5.14e-06,15103.3,14908.9
5.15e-06,15098.5,14904.2
5.16e-06,15093.8,14899.6
5.17e-06,15089.2,14895.0
5.18e-06,15084.5,14890.4
5.19e-06,15079.8,14885.8
5.2e-06,15075.2,14881.2
5.21e-06,15070.5,14876.6
5.22e-06,15065.9,14872.0
5.23e-06,15061.3,14867.5
5.24e-06,15056.7,14862.9
5.25e-06,15052.1,14858.4
5.26e-06,15047.5,14853.9
5.27e-06,15042.9,14849.4
5.28e-06,15038.3,14844.9
5.29e-06,15033.8,14840.4
5.3e-06,15029.3,14835.9
5.31e-06,15024.7,14831.5
5.32e-06,15020.2,14827.0
5.33e-06,15015.7,14822.6
5.34e-06,15011.2,14818.2
5.35e-06,15006.7,14813.8
5.36e-06,15002.3,14809.3
5.37e-06,14997.8,14805.0
5.38e-06,14993.3,14800.6
5.39e-06,14988.9,14796.2
5.4e-06,14984.5,14791.8
5.41e-06,14980.0,14787.5
5.42e-06,14975.6,14783.2
5.43e-06,14971.2,14778.8
5.44e-06,14966.9,14774.5
5.45e-06,14962.5,14770.2
5.46e-06,14958.1,14765.9
5.47e-06,14953.8,14761.6
5.48e-06,14949.4,14757.4
5.49e-06,14945.1,14753.1
5.5e-06,14940.7,14748.8
5.51e-06,14936.4,14744.6
5.52e-06,14932.1,14740.4
5.53e-06,14927.8,14736.1
5.54e-06,14923.5,14731.9
5.55e-06,14919.3,14727.7
5.56e-06,14915.0,14723.5
5.57e-06,14910.8,14719.4
5.58e-06,14906.5,14715.2
5.59e-06,14902.3,14711.0
5.6e-06,14898.0,14706.9
5.61e-06,14893.8,14702.7
5.62e-06,14889.6,14698.6
5.63e-06,14885.4,14694.5
5.64e-06,14881.2,14690.4
5.65e-06,14877.1,14686.3
5.66e-06,14872.9,14682.2
5.67e-06,14868.7,14678.1
5.68e-06,14864.6,14674.0
5.69e-06,14860.5,14670.0
5.7e-06,14856.3,14665.9
5.71e-06,14852.2,14661.9
