Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
6.18e-06,7627.86,7615.2
6.19e-06,7627.83,7615.28
6.2e-06,7627.8,7615.36
6.21e-06,7627.76,7615.44
6.22e-06,7627.73,7615.52
6.23e-06,7627.7,7615.59
6.24e-06,7627.67,7615.67
6.25e-06,7627.64,7615.75
6.26e-06,7627.61,7615.82
6.27e-06,7627.58,7615.9
6.28e-06,7627.55,7615.97
6.29e-06,7627.52,7616.05
6.3e-06,7627.5,7616.12
6.31e-06,7627.47,7616.19
6.32e-06,7627.44,7616.26
6.33e-06,7627.41,7616.33
6.34e-06,7627.38,7616.4
6.35e-06,7627.36,7616.47
6.36e-06,7627.33,7616.54
6.37e-06,7627.3,7616.61
6.38e-06,7627.28,7616.68
6.39e-06,7627.25,7616.75
6.4e-06,7627.22,7616.81
6.41e-06,7627.2,7616.88
6.42e-06,7627.17,7616.95
6.43e-06,7627.15,7617.01
6.44e-06,7627.12,7617.07
6.45e-06,7627.09,7617.14
6.46e-06,7627.07,7617.2
6.47e-06,7627.04,7617.26
6.48e-06,7627.02,7617.33
6.49e-06,7627.0,7617.39
6.5e-06,7626.97,7617.45
6.51e-06,7626.95,7617.51
6.52e-06,7626.92,7617.57
6.53e-06,7626.9,7617.63
6.54e-06,7626.88,7617.69
6.55e-06,7626.86,7617.75
6.56e-06,7626.83,7617.8
6.57e-06,7626.81,7617.86
6.58e-06,7626.79,7617.92
6.59e-06,7626.77,7617.98
6.6e-06,7626.74,7618.03
6.61e-06,7626.72,7618.09
6.62e-06,7626.7,7618.14
6.63e-06,7626.68,7618.2
6.64e-06,7626.66,7618.25
6.65e-06,7626.64,7618.3
6.66e-06,7626.62,7618.36
6.67e-06,7626.59,7618.41
6.68e-06,7626.57,7618.46
6.69e-06,7626.55,7618.51
6.7e-06,7626.53,7618.56
6.71e-06,7626.51,7618.61
6.72e-06,7626.49,7618.66
6.73e-06,7626.47,7618.71
6.74e-06,7626.46,7618.76
6.75e-06,7626.44,7618.81
6.76e-06,7626.42,7618.86
6.77e-06,7626.4,7618.91
6.78e-06,7626.38,7618.96
6.79e-06,7626.36,7619.0
6.8e-06,7626.34,7619.05
6.81e-06,7626.32,7619.1
6.82e-06,7626.31,7619.14
6.83e-06,7626.29,7619.19
6.84e-06,7626.27,7619.23
6.85e-06,7626.25,7619.28
6.86e-06,7626.24,7619.32
6.87e-06,7626.22,7619.37
6.88e-06,7626.2,7619.41
6.89e-06,7626.18,7619.45
6.9e-06,7626.17,7619.5
6.91e-06,7626.15,7619.54
6.92e-06,7626.13,7619.58
6.93e-06,7626.12,7619.62
6.94e-06,7626.1,7619.66
6.95e-06,7626.08,7619.7
6.96e-06,7626.07,7619.74
6.97e-06,7626.05,7619.78
6.98e-06,7626.04,7619.82
6.99e-06,7626.02,7619.86
7e-06,7626.01,7619.9
7.01e-06,7625.99,7619.94
7.02e-06,7625.98,7619.98
7.03e-06,7625.96,7620.02
7.04e-06,7625.95,7620.06
7.05e-06,7625.93,7620.09
7.06e-06,7625.92,7620.13
7.07e-06,7625.9,7620.17
7.08e-06,7625.89,7620.2
7.09e-06,7625.87,7620.24
7.1e-06,7625.86,7620.28
7.11e-06,7625.85,7620.31
7.12e-06,7625.83,7620.35
7.13e-06,7625.82,7620.38
7.14e-06,7625.8,7620.42
7.15e-06,7625.79,7620.45
7.16e-06,7625.78,7620.48
7.17e-06,7625.76,7620.52
7.18e-06,7625.75,7620.55
7.19e-06,7625.74,7620.58
7.2e-06,7625.73,7620.62
7.21e-06,7625.71,7620.65
7.22e-06,7625.7,7620.68
7.23e-06,7625.69,7620.71
7.24e-06,7625.68,7620.74
7.25e-06,7625.66,7620.78
7.26e-06,7625.65,7620.81
7.27e-06,7625.64,7620.84
7.28e-06,7625.63,7620.87
7.29e-06,7625.61,7620.9
7.3e-06,7625.6,7620.93
7.31e-06,7625.59,7620.96
7.32e-06,7625.58,7620.99
7.33e-06,7625.57,7621.02
7.34e-06,7625.56,7621.05
7.35e-06,7625.55,7621.07
7.36e-06,7625.53,7621.1
7.37e-06,7625.52,7621.13
7.38e-06,7625.51,7621.16
7.39e-06,7625.5,7621.19
7.4e-06,7625.49,7621.21
7.41e-06,7625.48,7621.24
7.42e-06,7625.47,7621.27
7.43e-06,7625.46,7621.29
7.44e-06,7625.45,7621.32
7.45e-06,7625.44,7621.35
7.46e-06,7625.43,7621.37
7.47e-06,7625.42,7621.4
7.48e-06,7625.41,7621.42
7.49e-06,7625.4,7621.45
